img_arr,output,flag,username,timestamp
C:\temp\maiw_project3\aws_sagemaker\flagged\img_arr\tmpxz3q7b2t.jpg,,,,2022-11-29 11:18:41.886940
C:\temp\maiw_project3\aws_sagemaker\flagged\img_arr\tmph68oe43b.jpg,,,,2022-11-29 12:01:38.295800
